Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java\io,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java\io\seata,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java\io\seata\discovery,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java\io\seata\discovery\registry,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk\src\main\java\io\seata\discovery\registry\zk,2,320,229,162,35,42,0,49,236,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main\java,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main\java\io,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main\java\io\seata,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main\java\io\seata\dubbo,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo-alibaba\src\main\java\io\seata\dubbo\alibaba,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src\main,1,81,53,41,9,8,0,20,110,15,98
